# binIdx ctxIdx symbol range offset
1030 -1 0 273 219
1031 -1 1 273 166
1032 -1 1 273 59
1033 -1 0 273 119
1034 247 1 500 238
1035 256 1 465 238
1036 256 1 432 238
1037 256 1 405 238
1038 256 1 379 238
1039 256 1 358 238
1040 256 1 338 238
1041 256 1 319 238
1042 256 1 305 238
1043 256 1 291 238
1044 256 1 278 238
1045 256 1 266 238
1046 256 1 508 476
1047 256 1 489 476
1048 -1 1 489 464
1049 -1 1 489 440
1050 -1 1 489 391
1051 -1 1 489 294
1052 -1 1 489 99
1053 -1 0 489 198
1054 -1 0 489 397
1055 -1 1 489 306
1056 -1 1 489 123
1057 -1 0 489 246
1058 -1 1 489 3
1059 -1 0 489 6
1060 96 1 461 6
1061 134 1 426 6
1062 195 0 418 6
1063 135 1 367 6
1064 196 0 360 6
1065 136 1 323 6
1066 197 0 316 6
1067 137 1 508 12
1068 198 0 499 12
1069 138 1 430 12
1070 199 0 422 12
1071 139 1 349 12
1072 200 0 342 12
1073 140 1 428 25
1074 201 0 419 25
1075 141 1 338 25
1076 202 0 331 25
1077 142 1 259 25
1078 203 0 506 50
1079 143 1 402 50
1080 204 0 388 50
1081 144 1 307 50
1082 205 0 297 50
1083 145 1 432 101
1084 206 0 415 101
1085 146 1 310 101
1086 207 0 291 101
1087 147 1 412 203
1088 208 0 377 203
1089 148 1 297 203
1090 209 0 470 407
1091 248 1 332 206
1092 252 1 302 206
1093 252 1 279 206
1094 252 1 257 206
1095 252 1 472 412
1096 252 1 439 412
1097 252 0 432 8
1098 -1 0 432 17
1099 247 1 400 17
1100 253 1 270 17
1101 253 1 370 34
1102 253 1 271 34
1103 253 1 388 68
1104 253 1 283 68
1105 253 1 428 137
1106 253 1 333 137
1107 253 1 257 137
1108 253 1 396 275
1109 253 1 315 275
1110 253 0 424 111
1111 -1 0 424 223
1112 247 1 394 223
1113 254 1 328 223
1114 254 1 275 223
1115 254 1 468 446
1116 254 0 260 172
1117 -1 1 260 85
1118 247 1 480 170
1119 255 1 435 170
