# binIdx ctxIdx symbol range offset
611 9 0 311 36
612 10 0 305 36
613 64 0 299 36
614 60 0 293 36
615 85 0 272 36
616 5 1 264 36
617 6 0 256 36
618 7 0 500 72
619 9 0 478 72
620 10 0 469 72
621 64 0 460 72
622 60 0 451 72
623 85 0 418 72
624 5 1 408 72
625 6 0 398 72
626 7 0 390 72
627 9 0 372 72
628 10 0 365 72
629 64 0 358 72
630 60 0 351 72
631 85 0 328 72
632 5 1 319 72
633 6 0 311 72
634 7 0 305 72
635 9 0 293 72
636 10 0 287 72
637 64 0 281 72
638 60 0 275 72
639 85 0 257 72
640 5 1 501 145
641 6 0 490 145
642 7 0 481 145
643 9 0 462 145
644 10 0 453 145
645 64 0 444 145
646 60 0 436 145
647 85 0 411 145
648 5 1 401 145
649 6 0 391 145
650 7 0 383 145
651 9 0 370 145
652 10 0 363 145
653 64 0 356 145
654 60 0 349 145
655 85 0 329 145
656 5 1 320 145
657 6 0 312 145
658 7 0 306 145
659 9 0 296 145
660 10 0 290 145
661 64 0 284 145
662 60 0 278 145
663 85 0 263 145
664 4 1 398 291
665 6 0 388 291
666 7 0 380 291
667 9 0 368 291
668 10 0 361 291
669 64 0 354 291
670 60 0 347 291
671 86 0 448 7
672 5 1 438 7
673 6 0 428 7
674 7 0 420 7
675 9 0 407 7
676 10 0 399 7
677 64 0 391 7
678 60 0 383 7
679 85 0 365 7
680 5 1 356 7
681 6 0 347 7
682 7 0 340 7
683 9 0 329 7
684 10 0 322 7
685 64 0 315 7
686 60 0 309 7
687 85 0 295 7
688 5 1 287 7
689 6 0 279 7
690 7 0 273 7
691 9 0 265 7
692 10 0 259 7
693 64 0 506 14
694 60 0 497 14
695 85 0 475 14
696 5 1 464 14
697 6 0 453 14
698 7 0 444 14
699 9 0 433 14
700 10 0 425 14
701 64 0 417 14
702 60 0 409 14
703 85 0 391 14
704 5 1 381 14
705 6 0 372 14
706 7 0 365 14
707 9 0 356 14
708 10 0 349 14
709 64 0 342 14
710 60 0 335 14
711 85 0 321 14
712 5 1 313 14
713 6 0 305 14
714 7 0 299 14
715 9 0 292 14
716 10 0 286 14
717 64 0 280 14
718 60 0 274 14
719 85 0 263 14
720 5 1 510 28
721 6 0 499 28
722 7 0 490 28
723 9 0 479 28
724 10 0 470 28
725 64 0 461 28
726 60 0 452 28
727 85 0 434 28
728 5 1 424 28
729 6 0 414 28
730 7 0 406 28
731 9 0 397 28
732 10 0 389 28
733 64 0 381 28
734 60 0 374 28
735 85 0 362 28
736 5 1 353 28
737 6 0 344 28
738 7 0 337 28
739 9 0 330 28
740 10 0 323 28
741 64 0 316 28
742 60 0 310 28
743 85 0 300 28
744 5 1 292 28
745 6 0 284 28
746 7 0 278 28
747 9 0 272 28
748 10 0 266 28
749 64 0 260 28
750 60 0 508 56
751 85 0 493 56
752 5 1 482 56
753 6 0 471 56
754 7 0 462 56
755 9 0 453 56
756 10 0 444 56
757 64 0 436 56
758 60 0 428 56
759 85 0 416 56
760 5 1 406 56
761 6 0 396 56
762 7 0 388 56
763 9 0 380 56
764 10 0 373 56
765 64 0 366 56
766 60 0 359 56
767 85 0 349 56
768 5 1 340 56
769 6 0 331 56
770 7 0 324 56
771 9 0 317 56
772 10 0 311 56
773 64 0 305 56
774 60 0 299 56
775 85 0 291 56
776 5 1 283 56
777 6 0 275 56
778 7 0 269 56
779 9 0 263 56
780 10 0 257 56
781 64 0 502 113
782 60 0 493 113
783 85 0 481 113
784 5 1 470 113
785 6 0 459 113
786 7 0 450 113
787 9 0 441 113
788 10 0 433 113
789 64 0 425 113
790 60 0 417 113
791 85 0 407 113
792 5 1 397 113
793 6 0 387 113
794 7 0 379 113
795 9 0 372 113
796 10 0 365 113
797 64 0 358 113
798 60 0 351 113
799 85 0 343 113
800 5 1 334 113
801 6 0 325 113
802 7 0 318 113
803 9 0 312 113
804 10 0 306 113
805 64 0 300 113
806 60 0 294 113
807 85 0 288 113
808 5 1 280 113
809 6 0 272 113
810 7 0 266 113
811 9 0 260 113
812 10 0 508 227
813 64 0 499 227
814 60 0 490 227
815 85 0 480 227
816 5 1 469 227
817 6 0 458 227
818 7 0 449 227
819 9 0 440 227
820 10 0 432 227
821 64 0 424 227
822 60 0 416 227
823 85 0 408 227
824 4 1 320 227
825 6 0 312 227
826 7 0 306 227
827 9 0 300 227
828 10 0 294 227
829 64 0 288 227
830 60 0 282 227
